ssn,StaLat,StaLon,Nrec,N0,Tn,Tn_new,p_sta,p_star_new,T0,p0,STAID,SiteClass,siteCL_new,SiteClass2,T0_01s,T0_02s,T0_022s,T0_025s,T0_029s,T0_03s,T0_032s,T0_035s,T0_036s,T0_04s,T0_042s,T0_044s,T0_045s,T0_046s,T0_048s,T0_05s,T0_055s,T0_06s,T0_065s,T0_067s,T0_07s,T0_075s,T0_08s,T0_085s,T0_09s,T0_095s,T0_1s,T0_11s,T0_12s,T0_13s,T0_133s,T0_14s,T0_15s,T0_16s,T0_17s,T0_18s,T0_19s,T0_2s,T0_22s,T0_24s,T0_25s,T0_26s,T0_28s,T0_29s,T0_3s,T0_32s,T0_34s,T0_35s,T0_36s,T0_38s,T0_4s,T0_42s,T0_44s,T0_45s,T0_46s,T0_48s,T0_5s,T0_55s,T0_6s,T0_65s,T0_667s,T0_7s,T0_75s,T0_8s,T0_85s,T0_9s,T0_95s,T1s,T1_1s,T1_2s,T1_3s,T1_4s,T1_5s,T1_6s,T1_7s,T1_8s,T1_9s,T2s
11,22.039,103.155,3,3,0.55,0.08,1.798317186,2.100639795,0.3,1.742786902,LCVB,1,2,1,1.466150213,1.46869852,1.473197013,1.484831364,1.511386759,1.511718243,1.499536177,1.589635403,1.666101498,1.571171977,1.525696812,1.524965152,1.5295186,1.529975186,1.526869369,1.545638112,1.549752211,1.533850911,1.677102529,1.665675676,1.627815216,1.591417327,1.660880814,1.535395877,1.274554279,1.170275455,1.165147778,1.437038887,1.466904885,1.401237335,1.336840745,1.208970013,1.134317016,1.041579004,1.056119089,1.110153078,1.143316177,1.201104481,1.250133468,1.280711853,1.221863285,1.33877773,1.582252033,1.731034892,1.742786902,1.60536048,1.429801692,1.319371432,1.278045194,1.416549102,1.686408702,1.587657619,1.30239023,1.277944403,1.24518674,1.233681571,1.36396563,1.798317186,1.589717239,1.536706705,1.598601668,1.47965703,1.172575536,1.087964046,1.053883471,1.174618562,1.111815555,1.132491848,1.10660481,1.20799628,1.398655803,1.49324821,1.461398856,1.328666996,1.276041451,1.301652059,1.408316462,1.513189197
12,21.85281667,106.749,18,18,0.067,0.067,1.369818754,1.469807376,0.22,1.230913203,LSVB,1,1.01,1,1.102432463,1.092122455,1.087628798,1.094889432,1.118203733,1.10746508,1.104864011,1.084494301,1.077144601,1.089424166,1.103558728,1.11824834,1.132909128,1.151080589,1.159238466,1.155604314,1.227643863,1.297767526,1.336212567,1.369818754,1.324733072,1.317336883,1.30169969,1.244288355,1.258230375,1.261069794,1.259058011,1.294833036,1.200426116,1.117713577,1.107270264,1.073824446,1.05850703,1.08712182,1.044288068,1.067350043,1.137330413,1.172490774,1.230913203,1.192501288,1.154195851,1.108533433,1.077524463,1.044627643,1.029148221,0.988747686,1.103759778,1.16405579,1.157012061,1.122426198,1.099683094,1.106095533,1.137373528,1.177329143,1.206253783,1.225214798,1.215479451,1.048975036,1.040673758,0.94107453,0.885912817,0.78676665,0.694957211,0.73071194,0.812895919,0.89784776,0.94313835,0.964465716,1.002299408,1.121103814,1.176326249,1.064975919,1.017903483,1.051789988,1.174299243,1.167775794,1.195038745,1.174710925
13,20.83362258,104.6564839,31,31,0.22,0.22,1.775032981,1.906964002,2,1.739781169,MCVB,1,1.02,5,1.525555928,1.508754624,1.502433321,1.503319594,1.488505086,1.490019254,1.492346816,1.4811442,1.462765514,1.409573097,1.384715904,1.356989864,1.339516596,1.31680081,1.31761173,1.321469433,1.292599967,1.368770909,1.446599076,1.434109507,1.40574372,1.37013986,1.304476402,1.200687134,1.209824727,1.306208222,1.334845162,1.33711066,1.320592464,1.2753184,1.303008454,1.34527034,1.456249653,1.559433419,1.641785265,1.664468862,1.664038677,1.68160988,1.775032981,1.720166871,1.692899114,1.66257208,1.580655515,1.608135931,1.592265788,1.552630985,1.541671803,1.558447366,1.541896948,1.525918055,1.503657052,1.476753462,1.462192048,1.45011693,1.442740636,1.421144183,1.428352369,1.457712463,1.521991128,1.559758562,1.583478163,1.547312778,1.586249699,1.592184794,1.642999611,1.631117418,1.555697131,1.530502473,1.598222067,1.654182191,1.582138518,1.607784694,1.579976776,1.598643017,1.63191495,1.652464225,1.700864265,1.739781169
14,22.042,103.154,55,33,0.18,0.16,1.975389435,1.765934225,0.01,1.528814518,MLAV,1,1.01,1,1.528814518,1.527304125,1.526991533,1.521626357,1.491729083,1.493840589,1.507757794,1.49206585,1.496066831,1.467961538,1.47291167,1.46972597,1.472194818,1.478706457,1.48299336,1.496755681,1.420783229,1.297989636,1.150740265,1.129724688,1.158130434,1.142395514,1.150524742,1.232551961,1.255909619,1.352940833,1.457039096,1.448537142,1.527129296,1.622574297,1.681704093,1.801506223,1.878157181,1.951549944,1.932908379,1.975389435,1.896988297,1.80744022,1.802634352,1.796424689,1.811579222,1.848960072,1.760701558,1.74715791,1.738887621,1.740191514,1.695277298,1.668151621,1.654931977,1.578749891,1.464581506,1.379276311,1.315700325,1.302330177,1.313209397,1.37973007,1.398533128,1.427300407,1.389154378,1.276196295,1.274536058,1.240023127,1.28235452,1.377717151,1.518073405,1.482063334,1.347119668,1.355209131,1.45223581,1.453204817,1.366243622,1.313669044,1.301337355,1.354074156,1.359873492,1.324623691,1.402900244,1.460595184
15,22.04190952,103.154,21,21,0.26,0.26,1.597946985,1.697718267,2,1.530771732,MLVB,1,1.02,5,1.125502866,1.086574191,1.0824397,1.068047939,1.022529583,1.003640588,1.010685206,0.994880952,0.985352572,0.966016254,0.95827539,0.954762932,0.956806902,0.958010245,0.960889979,0.950082285,0.997976844,1.007921534,0.973715084,0.96349181,0.956441029,0.96733855,0.963615105,0.998450315,1.033128195,1.089353732,1.121018711,1.122447316,1.25533946,1.385786885,1.393507076,1.407755116,1.412353561,1.415599447,1.407619917,1.35999214,1.373460274,1.372908209,1.421840488,1.481217558,1.518335452,1.597946985,1.57720226,1.465431092,1.424025821,1.391036221,1.396371791,1.411061288,1.420365329,1.36814737,1.237522139,1.163056796,1.170822343,1.208146649,1.2107239,1.220072022,1.262323501,1.253843674,1.027968232,0.932727576,0.912005095,0.888462157,0.947194716,1.039835272,0.997414072,0.885235608,0.882030049,0.927214408,1.07216354,1.144098576,1.100556461,1.101909056,1.18155235,1.222133736,1.290068819,1.350220263,1.40970063,1.530771732
16,22.4857,102.618,6,6,0.042,0.17,2.013791322,1.583581289,0.55,1.924539954,MTE2,2,1.01,2,1.318474608,1.408625333,1.396232121,1.425682457,1.452926652,1.453459556,1.534341233,1.562699765,1.644827366,1.971050368,2.013791322,1.916342758,1.82055717,1.753344663,1.670652233,1.68249869,1.661021637,1.520628745,1.542810891,1.427224253,1.345900899,1.493143,1.573510583,1.551938727,1.481066211,1.409853916,1.494021199,1.513388959,1.6397231,1.783914083,1.827631769,1.868250378,1.84909285,1.840925684,1.88419871,1.809790507,1.685610431,1.720839147,1.746909368,1.805167297,1.875425516,1.79270039,1.628557758,1.678417825,1.723251749,1.552389251,1.538132953,1.599958061,1.700271069,1.815791313,1.843189103,1.775366382,1.656001326,1.662629551,1.679005952,1.769638052,1.807998044,1.924539954,1.516315235,1.300919162,1.198974187,1.137481694,1.314245756,1.254439373,1.304774464,1.381678359,1.261736005,1.258210803,1.28391949,1.300296281,1.452863183,1.38131564,1.265299512,1.175994433,1.113095075,1.090740453,1.152390393,1.181996564
17,21.537,106.343,9,9,0.14,0.14,3.08778357,2.655275422,0.032,2.051700917,MTVB,2,2,2,1.988987303,1.930588091,1.951963376,1.93972864,2.009416384,2.030839929,2.051700917,1.948277224,1.952161521,2.034846074,1.938055638,1.922068288,1.953883822,1.976226723,1.935379711,1.860748103,1.647565824,1.437038682,1.225329443,1.197833235,1.209328395,1.210267913,1.397378274,1.607130634,1.775289138,1.823812592,2.007282459,2.481829744,2.865876111,3.01193483,3.06934741,3.08778357,2.852219204,2.98182649,2.914308436,2.832568104,2.77028447,2.685106175,2.531310305,2.441611959,2.473259917,2.539518043,2.317388463,2.18821051,2.106637746,2.016440187,1.950334017,1.942822391,2.011247449,1.957485235,1.907214438,1.745259276,1.770529724,1.84163298,1.926315281,1.979150239,1.931358808,1.772862416,1.692617966,1.544555161,1.568140788,1.554858847,1.671211597,1.737400504,1.71524773,1.629530408,1.526690886,1.530297931,1.482192893,1.455517609,1.380107725,1.321088412,1.307336203,1.284646932,1.450774862,1.393845476,1.323676566,1.281642217
18,20.805,106.628,9,9,0.12,0.09,1.48349277,1.410876816,0.55,1.244041694,PLVB,1,1.01,1,1.266896317,1.273856062,1.27608603,1.282340345,1.308095663,1.310962691,1.310958452,1.292684451,1.284795684,1.306766556,1.29061026,1.254333651,1.235265761,1.216793335,1.224933355,1.24041834,1.287892542,1.327642983,1.283707742,1.263304736,1.225314662,1.254691847,1.343511575,1.417622087,1.420612473,1.351933895,1.373094265,1.394570401,1.48349277,1.447040781,1.437879964,1.432236372,1.310396615,1.268742379,1.169289691,1.135500696,1.073869893,1.069522567,1.118452805,1.22922477,1.212538215,1.204746229,1.192979867,1.227742826,1.238279381,1.230098768,1.136989509,1.094414717,1.069723029,1.065550138,0.999528296,0.969532815,0.981115446,0.993182646,1.014268726,1.048801199,1.173032531,1.244041694,1.230285911,1.093583663,1.030648936,1.063086271,1.061977055,1.004645498,1.050751968,1.074579335,1.051650189,1.042955894,1.010550063,0.975352251,0.986266997,0.956337987,0.941203361,0.96823573,0.974583683,0.995008878,1.019090707,0.980978806
19,21.333275,103.9051667,12,12,2,0.95,1.319045979,1.276343917,0.95,1.271498766,SLV,1,1.02,1,0.856099342,0.854275388,0.855304371,0.855590974,0.851213404,0.851412087,0.860064333,0.857522177,0.854804293,0.858359053,0.854862531,0.854758105,0.858608677,0.863631166,0.864189704,0.862507065,0.878993718,0.907249204,0.89678098,0.906750774,0.928585357,0.976831637,0.967246269,0.954940114,0.963831279,0.95418556,0.967429637,1.028695024,1.025423124,1.067632938,1.050124392,1.019275084,0.927358748,0.927666449,0.926097367,0.887874828,0.867577216,0.813674868,0.826046974,0.828345432,0.868976633,0.863956013,0.807234367,0.840619662,0.831071846,0.820419884,0.80723361,0.791578337,0.765086121,0.725980357,0.674693169,0.607910748,0.619746072,0.65046042,0.674641303,0.676497459,0.60419526,0.562650608,0.571163095,0.591774705,0.594997146,0.595367024,0.629431991,0.66858476,0.807229502,1.073962913,1.271498766,1.21884012,0.902794826,0.783140917,0.906330857,0.969777186,0.827746662,0.750260158,0.824628287,1.012975989,1.231356683,1.319045979
20,21.33,103.965,16,16,0.17,0.17,1.56961039,1.698540288,0.28,1.378562709,SLVB,1,1.01,1,1.374336039,1.357299898,1.365675415,1.341734199,1.325947186,1.328126994,1.358400334,1.329989046,1.321626229,1.308780331,1.340339439,1.359211851,1.351260093,1.341426445,1.324520795,1.331536706,1.361248352,1.358961262,1.351046884,1.345765937,1.346459776,1.347045356,1.364496367,1.364196433,1.308264057,1.228918291,1.212727496,1.318694572,1.312815395,1.303895629,1.344060917,1.393332377,1.430359659,1.49004025,1.56961039,1.518609934,1.503017796,1.451273192,1.379994835,1.206119194,1.213743064,1.335049911,1.378562709,1.260911946,1.23759578,1.254954849,1.307163027,1.340511073,1.298402675,1.171791211,1.138379683,1.157985092,1.109993386,1.122857078,1.166106817,1.224569989,1.168500937,1.094305087,1.101215956,1.154536849,1.155694145,1.11597877,1.117789047,1.055723828,1.054439662,1.130160085,1.155878487,1.216266147,1.1384831,1.05397631,1.074962289,1.092780236,1.142115631,1.121280214,1.12395593,1.146284244,1.152581848,1.204848626
21,22.394,103.842,27,21,0.38,0.38,1.58115643,1.606690342,2,1.043938109,SPVB,1,1.02,1,0.833811157,0.841778631,0.84314726,0.847539556,0.865865351,0.880356218,0.911529491,0.916768659,0.919525317,0.900574352,0.887622562,0.894064538,0.891162613,0.884634512,0.869105441,0.858056884,0.846985565,0.864564925,0.836236892,0.826629292,0.820132889,0.804351914,0.823835783,0.827879962,0.821902637,0.779630439,0.75355257,0.731112558,0.717965371,0.674616899,0.66555605,0.632379256,0.672488678,0.671143606,0.702286659,0.75085287,0.749945301,0.745719066,0.75274835,0.617768663,0.611236597,0.620819285,0.75991088,0.926964789,1.115729127,1.345315621,1.524441035,1.580430367,1.580495438,1.58115643,1.470615159,1.421028613,1.500986415,1.510552878,1.519507473,1.506463267,1.506076083,1.387771001,1.284182118,1.288121814,1.269156379,1.221889138,1.195594124,1.113043518,1.070874259,1.072178272,1.102639923,1.184181072,1.16053602,1.132482657,1.092267683,1.064711892,1.020436602,0.995267947,0.93415378,0.924764491,1.007861271,1.043938109
22,21.592,103.418,93,78,0.18,0.2,1.600626366,1.676697658,0.055,1.297081213,TGVB,1,1.02,1,1.265324553,1.268718653,1.265048361,1.260526152,1.252608015,1.24891632,1.254519862,1.256751144,1.256461866,1.248228392,1.248896903,1.265480206,1.273277749,1.275692691,1.280934556,1.274781692,1.297081213,1.295110459,1.288259568,1.268543853,1.256445291,1.23188495,1.203492001,1.161244351,1.125566671,1.142626708,1.153301111,1.203632863,1.226281348,1.258294746,1.261475167,1.308555765,1.411044467,1.537162889,1.597685787,1.600626366,1.597302427,1.58035866,1.491687498,1.366087691,1.300240195,1.248460168,1.143714026,1.100889047,1.064563151,1.051466487,1.086828887,1.118680481,1.149970514,1.182306898,1.216999764,1.22861201,1.246375917,1.260563807,1.272953669,1.278461479,1.268299377,1.240112079,1.203928552,1.167725292,1.151163514,1.133733611,1.121945225,1.152589779,1.17295063,1.199081704,1.217582225,1.274521979,1.296056924,1.277343872,1.193455481,1.129812931,1.120614639,1.128226589,1.143244964,1.146157454,1.188341232,1.222717046
23,19.844815,105.784,20,20,0.9,0.075,1.325036905,1.415229297,1.3,1.306645871,THVB,1,1.01,1,1.170775351,1.172409904,1.162249545,1.163734512,1.171737818,1.175578903,1.19126133,1.202867311,1.197933217,1.200346767,1.201695423,1.199519105,1.200865279,1.203525051,1.211297682,1.214407123,1.234547844,1.259232874,1.241289396,1.242056231,1.229862918,1.253463883,1.234688944,1.213169006,1.215920136,1.246561818,1.276177923,1.236159187,1.20553921,1.213543463,1.197051729,1.139116983,1.065267759,1.025360886,1.038474951,1.076266577,1.164134731,1.089953793,0.99909396,1.031277973,1.055914229,1.071570298,1.112244567,1.151033044,1.184103001,1.16495392,1.109272463,1.08350668,1.081879839,1.05657471,1.015345803,0.97516836,1.012022471,1.027627885,1.028590974,1.063493373,1.114793994,1.296162515,1.250891207,1.215480272,1.212897314,1.078784101,1.0353091,1.094553335,1.21280673,1.325036905,1.213392993,1.092156759,1.043560387,1.259444242,1.306645871,1.233312446,1.079662958,1.036363709,1.005759301,1.156537801,1.236282049,1.224516071
24,21.335,107.389,2,2,0.133,0.13,3.779347563,2.471170689,0.055,1.814651918,TIYB,2,2,2,1.624792753,1.615821372,1.606529137,1.584046129,1.555662223,1.547030334,1.497413159,1.464268847,1.383267808,1.381572559,1.366323798,1.392863517,1.405893585,1.43161374,1.470866151,1.481293399,1.814651918,1.772607365,1.687102643,1.553847541,1.513628927,1.460209334,1.273145551,1.376990064,1.35193447,1.480939343,1.80639844,2.534459963,3.320085996,3.749921373,3.779347563,3.674152534,2.941497973,2.605387245,2.738790489,2.443433097,2.368821103,2.410295697,2.360941015,2.251763134,2.124466965,2.12613052,2.274900646,2.309650496,2.519896152,2.903700276,2.693285112,2.56655719,2.544834309,2.348787607,2.079738401,2.046695214,1.860668151,1.684520124,1.559438246,1.573941678,1.706441754,1.686335939,1.399422995,1.374419391,1.292923499,1.270888106,1.244863374,1.318806399,1.292919511,1.231215166,1.130923942,1.149641921,1.242270394,1.234264815,1.148901876,1.172160914,1.363498405,1.412718673,1.532637109,1.390549084,1.285643627,1.219980639
