,year,month,day,hour,minute,second,Lat,Lon,Depth,NST,Ml
70,2016,10,14,22,24,17.2,22.596,101.539,33.0,4,3.9
71,2016,10,27,10,12,47.2,20.339,104.516,17.1,9,3.9
72,2016,11,30,14,12,20.3,22.994,101.9,8.8,5,3.7
73,2016,12,8,16,43,44.3,22.567,101.978,15.2,9,3.9
74,2017,4,21,14,41,35.1,20.734,105.098,17.1,9,3.7
75,2017,6,12,15,31,28.6,23.122,101.789,8.9,5,3.8
76,2017,8,15,5,16,6.0,23.113,106.158,18.8,13,4.2
77,2017,10,3,11,17,50.7,22.946,106.116,20.6,12,4.1
78,2017,10,8,17,10,34.4,23.152,106.265,0.0,4,3.5
79,2017,10,23,4,40,59.9,20.925,101.928,5.0,12,3.9
80,2018,1,7,20,14,19.0,21.3,103.281,30.8,11,4.5
81,2018,1,8,23,21,23.0,21.398,103.273,0.2,28,4.7
82,2018,1,14,6,36,44.0,18.203,104.898,0.6,9,4.8
83,2018,2,9,12,49,38.5,21.269,103.254,22.4,16,4.1
84,2018,5,4,0,19,3.6,22.356,101.329,10.5,14,4.3
85,2018,6,8,20,20,18.6,23.228,102.339,0.0,20,3.6
86,2018,9,7,5,43,1.1,22.533,102.346,13.1,21,3.7
87,2018,9,8,2,31,30.9,23.195,101.607,13.1,13,5.8
88,2018,10,17,23,5,35.3,18.28,106.445,8.2,12,3.8
89,2018,11,6,10,19,42.6,21.18,102.986,0.5,10,3.5
90,2018,12,27,7,30,6.8,22.692,102.137,13.3,6,4.1
91,2019,1,6,14,46,32.1,23.31,101.054,4.5,11,3.7
92,2019,1,9,14,13,9.1,21.308,101.694,7.0,9,3.5
93,2019,1,9,15,21,35.0,21.277,101.652,0.1,15,3.5
94,2019,1,10,9,8,11.7,21.302,101.635,2.3,14,3.8
95,2019,1,10,12,0,52.5,21.305,101.616,0.0,13,4.3
96,2019,1,15,18,26,54.1,21.276,101.718,7.2,13,3.7
97,2019,1,17,5,36,32.3,23.027,104.159,10.7,20,3.7
98,2019,2,12,12,33,59.2,21.37,101.649,0.0,12,3.5
99,2019,2,12,14,49,55.0,22.922,101.345,3.8,9,4.2
100,2019,2,13,9,29,36.5,23.405,102.121,17.1,9,3.6
101,2019,2,17,8,37,28.1,21.309,101.673,2.5,10,3.5
102,2019,2,23,18,38,44.8,21.322,101.706,0.0,7,3.6
103,2019,3,29,6,3,19.8,23.376,102.309,17.1,7,3.6
104,2019,3,31,7,12,42.4,22.128,101.778,4.8,7,3.9
105,2019,4,4,5,47,28.9,20.261,104.603,7.9,22,3.8
106,2019,5,21,10,49,29.9,21.403,103.292,9.0,20,4.0
107,2019,6,22,10,42,30.1,21.354,103.22,17.0,9,3.7
108,2019,7,14,1,51,36.0,21.98,103.478,7.7,17,3.5
109,2019,7,14,15,13,6.4,22.49,106.591,0.0,6,3.6
110,2019,7,20,22,51,33.1,23.302,101.982,0.1,7,3.8
111,2019,8,30,22,24,54.6,23.369,101.978,0.0,13,4.3
112,2019,9,1,9,11,46.1,22.668,103.373,0.0,13,3.5
113,2019,9,22,7,55,46.7,22.209,101.753,13.6,8,3.9
114,2019,11,15,11,9,27.7,23.336,103.85,17.0,6,3.5
115,2019,11,19,0,44,2.0,23.199,103.904,20.6,5,3.7
116,2019,11,20,8,32,54.4,19.207,105.123,0.6,9,4.1
117,2019,11,25,1,18,20.3,22.911,106.679,10.0,15,5.0
118,2019,11,25,3,56,53.4,22.829,106.59,13.4,7,3.5
119,2019,11,27,23,49,52.5,22.833,106.62,13.3,12,4.8
120,2020,1,22,21,26,27.3,23.364,102.141,0.2,8,4.1
121,2020,2,28,18,13,2.6,20.846,101.408,16.8,13,4.1
122,2020,6,16,6,12,27.3,22.491,102.634,10.0,26,4.9
123,2020,6,26,19,34,58.9,22.701,102.064,26.6,8,3.8
124,2020,7,12,5,21,56.9,22.911,102.6,7.4,11,4.6
125,2020,7,27,5,14,48.3,20.929,104.708,7.1,18,5.0
126,2020,7,28,1,26,43.8,20.91,104.716,5.3,5,4.1
127,2020,7,28,13,28,17.5,20.925,104.716,6.1,14,3.5
128,2020,7,31,22,31,13.9,20.924,104.709,8.8,11,3.7
129,2020,8,17,1,13,9.1,20.907,104.749,6.9,14,4.4
